ID	Long ID	Event Name	Start Time	End Time	Latitude	Longitude	Venue Name	Street	City	Region	Postalcode	Country	Price	rawprice	URL	Type	Trimmed Performer	Allmusic Performer	Moods	Allmusic Genre	Allmusic URL
86878073	86878073-benjamin-zander-conducts-nec-youth-philharmonic-orchestra	Benjamin Zander conducts NEC Youth Philharmonic Orchestra	2009-05-20 20:00:00 +0000		42.34112	-71.0861	Jordan Hall	30 Gainsborough St.	Boston	MA	02115	United States	10	 $10; $5 for students and seniors; free with NEC i.d.	http://www.newenglandconservatory.edu/jordanhall/	Classical	Benjamin Zander conducts NEC Youth Philharmonic Orchestra				
86948517	86948517-new-england-conservatory-youth-philharmonicballets-russes-concert	New England Conservatory Youth Philharmonic/Ballets Russes Concert	2009-05-20 20:00:00 +0000		42.3411	-71.0861	Jordan Hall at New Enlgand Conservatory	30 Gainsborough Street	Boston	MA	02115	United States	-1			Classical	New England Conservatory Youth Philharmonic	New England Conservatory Youth Philharmonic Orchestra		Concerto|Symphony	http://www.allmusic.com/cg/amg.dll?p=amg&sql=41:95025
86951337	86951337-boston-pops-tribute-to-harry-ellis-dickson	Boston Pops 'Tribute to Harry Ellis Dickson'	2009-05-20 20:00:00 +0000		42.34266	-71.08473	Boston Symphony Hall	301 Massachusetts Ave.	Boston	MA	02115	United States	20	 $20.00  - $89.00 	http://www.bso.org	Pop	Boston Pops 'Tribute to Harry Ellis Dickson'				
86661330	86661330-southern-culture-on-the-skids-los-straitjackets	Southern Culture On The Skids / Los Straitjackets	2009-05-20 20:00:00 +0000		42.35163	-71.11925	Paradise Rock Club	967 Commonwealth Ave.	Boston	MA	02215	United States	-1		http://www.thedise.com/	Music	Southern Culture On The Skids 	Southern Culture on the Skids	Alternative Pop/ Rock|Indie Rock|Rockabilly Revival|Psychobilly|Trashy|Ramshackle|Quirky|Irreverent|Silly|Campy|Rollicking|Guitar (Electric)|Vocals|Drums|Bass	Pop/Rock	http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:kxfuxql5ldse
86900132	86900132-wumb-radio-benefit	WUMB Radio Benefit	2009-05-20 20:30:00 +0000		42.39725	-71.12317	Johnny D's Restaurant &amp; Music Club	17 Holland St.	Somerville	MA	02144	United States	-1		http://www.johnnyds.com	World Music	WUMB Radio Benefit				
86833949	86833949-thrones	Thrones	2009-05-20 21:00:00 +0000		42.36393	-71.10122	Middle East Club	472 Massachusetts Ave.	Cambridge	MA	02139	United States	8	 $8.00	http://www.mideastclub.com/	Alternative	Thrones	Thrones	Alternative Pop/ Rock|Indie Rock|Punk Revival|Noise|Experimental Rock|Clinical|Detached|Nihilistic|Menacing	Pop/Rock	http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:aifoxqqhldhe
86902832	86902832-international-wednesdays-at-gypsy	International Wednesdays at Gypsy	2009-05-20 22:00:00 +0000		42.35234	-71.06584	Gypsy Bar	116 Boylston St.	Boston	MA	02116	United States	-1		http://gypsybarboston.com	Music	International Wednesdays at Gypsy				
86889735	86889735-bachs-lunch-concert	Bach's Lunch Concert	2009-05-21 12:00:00 +0000	2009-05-21 13:00:00 +0000	42.53922	-71.50932	Indian Hill Music School	36 King St.	Littleton	MA	01460	United States	0	 Free Admission	http://www.indianhillmusic.org	Performing Arts	Bach's Lunch Concert				
86769455	86769455-a-fundraising-event-for-the-agassiz-preschool-featuring-jennifer-kimball-her-band-special-guests	A Fundraising Event for The Agassiz Preschool featuring Jennifer Kimball &amp;amp; Her Band &amp;amp; special guests	2009-05-21 18:30:00 +0000		42.38198	-71.11965	Lizard Lounge	1667 Mass. Ave.	Cambridge	MA	02138	United States	25	 $25	http://lizardloungeclub.com	Music	A Fundraising Event for The Agassiz Preschool 				
86980153	86980153-galactic	Galactic	2009-05-21 19:00:00 +0000		42.35163	-71.11925	Paradise Rock Club	967 Commonwealth Ave.	Boston	MA	02215	United States	-1		http://www.thedise.com/	Electronica	Galactic	Galactic	Jam Bands|Jazz-Funk|Acid Jazz|Fusion|Post-Bop|Party/ Celebratory|Energetic|Uplifting|Passionate|Quirky|Yearning|Laid-Back/ Mellow|Earnest|Stylish|Confident|Playful	Pop/Rock	http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:h9foxqqhldke
86335780	86335780-keane	Keane	2009-05-21 19:00:00 +0000		42.34819	-71.03693	Bank of America Pavilion	290 Northern Ave.	Boston	MA	02206	United States	29	 $29.50, $39.50	http://www.livenation.com/venue/getVenue/venueId/496	Pop	Keane	Keane	Alternative Pop/ Rock|Britpop|Exuberant|Amiable/ Good-Natured|Earnest|Passionate|Wistful|Reflective|Energetic|Rousing|Confident|Lively|Searching|Piano	Pop/Rock	http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:0zfixqraldje
86522911	86522911-bill-frisells-858-quartet	Bill Frisell's 858 Quartet	2009-05-21 19:30:00 +0000		42.3723	-71.12182	Regattabar at the Charles Hotel	One Bennett St.	Cambridge	MA	02138	United States	28	 $28	http://www.regattabarjazz.com	Jazz	Bill Frisell's 858 Quartet				
85873193	85873193-emergenza-festival	Emergenza Festival	2009-05-21 19:30:00 +0000		42.35163	-71.11925	Paradise Rock Club	967 Commonwealth Ave.	Boston	MA	02215	United States	-1		http://www.thedise.com/	Music	Emergenza Festival				
85849027	85849027-emerganza-festival	Emerganza Festival	2009-05-21 19:30:00 +0000		42.35163	-71.11925	Paradise Lounge	969 Commonwealth Ave.	Boston	MA	02215	United States	-1		http://www.thedise.com/lounge/index.html	Music	Emerganza Festival				
86785465	86785465-holy-fck-crocodiles	Holy FCk, Crocodiles	2009-05-21 20:00:00 +0000		42.36393	-71.10122	Middle East Club	472 Massachusetts Ave.	Cambridge	MA	02139	United States	9	 $9.00	http://www.mideastclub.com/	Alternative	Holy FCk	Holy Fuck	Neo-Electro|Tense/Anxious|Paranoid|Detached|Manic|Hypnotic|Energetic|Cynical/ Sarcastic|Urgent|Menacing|Intense|Confident|Ominous|Volatile|Ironic|Clinical	Electronica	http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:0xfexqusldfe
86954220	86954220-jen-kearney-the-lost-onion-cd-release	Jen Kearney &amp;amp; The Lost Onion CD release	2009-05-21 20:00:00 +0000		42.35294	-71.13256	Harpers Ferry	158 Brighton Ave.	Boston	MA	02134	United States	7	 $7	http://harpersferryboston.com	World Music	Jen Kearney 	Jen Kearney		R&B	http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:j9fuxqwsldfe
87021565	87021565-butterfly-boucher	Butterfly Boucher	2009-05-21 20:00:00 +0000		42.34808	-71.08512	Cafe 939 at Berklee	939 Boylston St.	Boston	MA	02115	United States	-1		http://www.cafe939.com	Music	Butterfly Boucher	Butterfly Boucher	Adult Alternative Pop/ Rock|Earnest|Literate|Carefree|Amiable/ Good-Natured|Playful|Lively|Reflective|Bittersweet|Poignant	Pop/Rock	http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:avftxql0ldte
86559332	86559332-alastiar-moock-presents-pastures-of-plenty-with-deb-pasternak-mark-erelli-rani-arbo	Alastiar Moock Presents Pastures Of Plenty With Deb Pasternak, Mark Erelli &amp;amp; Rani Arbo	2009-05-21 20:00:00 +0000		42.37395	-71.11987	Club Passim	47 Palmer St.	Cambridge	MA	02138	United States	20	 $20.00	http://www.clubpassim.org/	Music	Pastures Of Plenty 				
86866426	86866426-the-juan-maclean-and-the-field	The Juan MacLean and The Field	2009-05-21 20:00:00 +0000		42.36393	-71.10122	Middle East Club	472 Massachusetts Ave.	Cambridge	MA	02139	United States	12	 $12.00	http://www.mideastclub.com/	Alternative	The Juan MacLean and The Field				
84836941	84836941-a-far-cry-returns-to-jordan-hall-may-2009	A Far Cry Returns to Jordan Hall May 2009	2009-05-21 20:00:00 +0000		42.34112	-71.0861	Jordan Hall	30 Gainsborough St.	Boston	MA	02115	United States	0	 $0 - $22.5	http://www.newenglandconservatory.edu/jordanhall/	Music	A Far Cry 				
86329987	86329987-dave-valentin-bill-oconnell-the-latin-jazz-project	Dave Valentin &amp;amp; Bill O'Connell The Latin Jazz Project	2009-05-21 20:00:00 +0000		42.36165	-71.11788	Scullers Jazz Club	400 Soldiers Field Rd.	Boston	MA	02134	United States	22	 $22	http://www.scullersjazz.com/	Jazz	Dave Valentin 	Dave Valentin	Latin Jazz|Crossover Jazz|Flute	Jazz	http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:difexqy5ldde
86907763	86907763-boston-pops-celebrates-baseball-night-and-the-red-sox-album	Boston Pops Celebrates Baseball Night and The Red Sox Album	2009-05-21 20:00:00 +0000		42.34266	-71.08473	Boston Symphony Hall	301 Massachusetts Ave.	Boston	MA	02115	United States	20	 $20.00 - $89.00	http://www.bso.org	Classical	Boston Pops Celebrates Baseball Night and The Red Sox Album				
86661754	86661754-stephen-pearcy-the-voice-of-ratt	Stephen Pearcy- The Voice of RATT!	2009-05-21 20:30:00 +0000		42.24481	-71.00329	The Commonwealth Restaurant &amp; Lounge	79 Parkingway	Quincy	MA	02169	United States	15	 $15 in Advance/ $20 at the door/ $40 VIP Package	http://www.commonwealthrestaurant.com	Rock	Stephen Pearcy- The Voice of RATT!				
86900134	86900134-hoots-hellmouth-w-ben-carroll	Hoots &amp;amp; Hellmouth w/ Ben Carroll	2009-05-21 21:00:00 +0000		42.39725	-71.12317	Johnny D's Restaurant &amp; Music Club	17 Holland St.	Somerville	MA	02144	United States	-1		http://www.johnnyds.com	New Age	Hoots 				
86571554	86571554-wolves-in-the-throne-room-a-storm-of-light	Wolves in the Throne Room | A Storm of Light	2009-05-21 21:00:00 +0000		42.35028	-71.13059	Great Scott	1222 Commonwealth Ave.	Boston	MA	02134	United States	-1		http://www.greatscottboston.com/	Alternative	Wolves in the Throne Room 	Wolves in the Throne Room	Heavy Metal|Death Metal/ Black Metal|Gutsy|Atmospheric|Gritty|Ethereal|Nihilistic|Malevolent|Hypnotic|Visceral|Cerebral|Nocturnal|Volatile	Pop/Rock	http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:gbfqxqtsldke
83983220	83983220-cancelled-lush	CANCELLED: Lush	2009-05-21 21:30:00 +0000	2009-05-22 01:00:00 +0000	42.40377	-71.06154	Rob Jacks Bar and Grill Restaurant	88 Main St.	Everett	MA	02149	United States	-1		http://www.myspace.com/robjacksbar	Techno &amp; Dance	CANCELLED				
