Event Name	Start Time	End Time	Latitude	Longitude	Venue Name	Street	City	Region	Postalcode	Country	Price	URL	Type	
The Sweet Remains, Adam Sullivan Opens	2009-04-22 20:00:00 +0000		42.37395	-71.11987	Club Passim	47 Palmer St.	Cambridge	MA	02138	United States	 $12.00	http://www.clubpassim.org/	Music
eve6	2009-04-22 20:00:00 +0000		42.09501	-71.2624	Showcase Live	23 Patriot Place	Foxboro	MA	02035	United States	?	http://showcaselive.com/	Music
Poetry Slam &amp;amp; Jam 2	2009-04-22 20:00:00 +0000		42.34808	-71.08512	Cafe 939 at Berklee	939 Boylston St.	Boston	MA	02115	United States	 $5.00	http://www.cafe939.com	Music
National Philharmonic of Russia, Vladimir Spivakov, conductor, Denis Matsuev, piano soloist	2009-04-22 20:00:00 +0000		42.34266	-71.08473	Boston Symphony Hall	301 Massachusetts Ave.	Boston	MA	02115	United States	 $85, $67, $50, $37	http://www.bso.org	Classical
Brandeis University Early Music Ensemble	2009-04-22 20:00:00 +0000		42.36544	-71.2558	Slosberg Recital Hall	415 South St.	Waltham	MA	02454	United States	 Free	?	Miscellaneous
Simian Mobile Disco	2009-04-22 20:00:00 +0000		42.35163	-71.11925	Paradise Rock Club	967 Commonwealth Ave.	Boston	MA	02215	United States	 $17.50	http://www.thedise.com/	Techno &amp; Dance
The Kevin Harris Project	2009-04-22 20:00:00 +0000		42.36165	-71.11788	Scullers Jazz Club	400 Soldiers Field Rd.	Boston	MA	02134	United States	 $20	http://www.scullersjazz.com/	Miscellaneous
Eve 6	2009-04-22 20:00:00 +0000		42.09501	-71.2624	Showcase Live	23 Patriot Place	Foxboro	MA	02035	United States	 $18.00	http://showcaselive.com/	Alternative
Herb Alpert &amp;amp; Lani Hall	2009-04-22 20:15:00 +0000		42.34715	-71.08746	Berklee Performance Center	136 Massachusetts  Ave.	Boston	MA	02115	United States	 $20.00, $30.00, $45.00	http://berkleebpc.com	World Music
Jeff Hanson	2009-04-22 20:30:00 +0000		42.36372	-71.10165	T.T. the Bear's Place	10 Brookline St.	Cambridge	MA	02138	United States	 $9.00	http://www.ttthebears.com	Rock
Garaj Mahal	2009-04-22 20:30:00 +0000		42.39725	-71.12317	Johnny D's Restaurant &amp; Music Club	17 Holland St.	Somerville	MA	02144	United States	 $15	http://www.johnnyds.com	Jazz
Tim Barry, Austin Lucas	2009-04-22 21:00:00 +0000		42.36393	-71.10122	Middle East Club	472 Massachusetts Ave.	Cambridge	MA	02139	United States	 $10.00	http://www.mideastclub.com/	Alternative
